caption,comments,category
"_provisionall
•
Follow
inside of a bollywood movie, again🤭

#fyp #explore #explorepage #reelsinstagram #reels #trendingreels #trending #instadaily #delhi #monsoon
Atif Aslam, Shiraz Uppal · Pehli Dafa
 
Atif Aslam, Shiraz Uppal · Pehli Dafa
 
anutsekk","❤️❤️
How much I miss this!!!!! 😭
lovee itt
Urge myself to go again and feel this vibe in delhi❤️❤️❤️❤️
Sukoon ❤️
comfort video!!
🥹❤️🫀
Priya park ?😍
ye wali aandhi sirf south Delhi me aati hai kya?
i was like this video is so cool wtf then i realised it’s your video 😭😭
❤️❤️❤️
THIS IS SO BEAUTIFUL 😭😭😭😭😭
❤️
priya park😭",emotional
"kashmiri_toiub
•
Follow
Vibes🏔️🥰… ( This is how Kashmir will look after one month 🌻)
.
.
.
This is one of the beautiful view points of Sonamarg, first clip of Zoila pass and rest From Sonamarg.
.
.
.
.
.
.
.
.
#sonmarg #sonmarginsummer #summerinkashmir #reelkarofeelkaro #reelsi̇nstagram #travel #rivers #mountains #snowmountain #kashmir #kashmirreels #glacier #hiking #trendingsongs #trendingnow #trendingreels
kashmiri_toiub · Original audio
 
kashmiri_toiub · Original audio
 ","🔥🔥
Niec 🥰🥰😊😊😊😊😊😊🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
😍😍
🔥🔥🔥
😍😍😍
Sukoon❤️
❤️
Sukoon ❤️
❤️❤️❤️
❤️❤️
Hye ❤️❤️",entertainment
"munnargram_
•
Follow
📍Kolukkumalai package ₹1599👇🏻
🎥vc// @trekker_360

Do you have ₹1599 rupees in your hand?
If it is a yes, we can provide you a wonderful package!!

📞 +91 9746021880

👉Our package Inclusions ☃️

🌅 Phantom Hills Sunset Trekking
🌄 Kolukumalai Sunrise Trekking
🔥Campfire
🎶DJ Music
☕ Tea,
🍽 Dinner
🍞 Breakfasts
🍗chikkenBBQ
🚗Offroad Jeep Safari
➖➖➖➖➖➖➖➖➖➖➖➖
Day : 1 🔅💥✨⚡
✅ 02:00 PM: Check In
✅ 04:00 PM: Wellcome Tea
✅ 05:00 PM: Evening Sunset Trekking
Phantom Hills
✅ 07:00 PM: Reach Back To Campsite
✅ 07:20 PM: Campfire with DJ
✅ 09:00 PM: Dinner - Unlimited Food🍲
🍗 Chicken BBQ
🫓 Chapatti
🍚 Ghee Rice
🍖 chikken curry
🥘 dal
🥗 Onion Raita

➖➖➖➖➖➖➖➖➖➖➖➖
Day : 2 🔆💥✨⚡
✅ 04:00 AM: wake-up Call
✅ 04:30 AM: Jeep Trek To Kolukumalai
✅ 06:30 AM: Visit Sunrise, View Point
And Jaguar Rock
✅ 07:30 AM: Back To Jeep pickup Point
✅ 08:30 AM: Reach Back To Campsite
✅ 09:30 AM: Breakfast - Unlimited Food
🍛 Idli
🥯 Vada
🫓 Dosha
☕ Tea
✅ 10:00 AM: Travel Experience Section
✅ 11:30 AM: Check out

💲Price Per Head 1599/- Only
💯 Including All Activities No Other
Charges
➖➖➖➖➖➖➖➖➖➖➖➖
⛺CAMP FACILITIES 💯
🌿 Free WiFi 📶
🌿 Trekking Guide,
🌿 24 Hours Service Man,
🌿 Bike and Car parking Area
🌿 Mobile Charging Point
🌿 Girls and Boys separate Washrooms

📌 For Booking & More Details

📞 +91 97 46 02 1880

📞+91 70 06 19 0352
munnargram_ · Original audio
 
munnargram_ · Original audio
 
Kolukkumalai-Munnar","Can we expect the same view.during june month
Details
Date
Location
Try Lambasingi it's also Awesome 😍 In Andhrapradesh
Location ?? I'm from Mumbai ?
Woke up at 4 am to pluck the magical mushrooms 🍄 😂
Details please
Location 😍
Location plz",informational
"4dl.films
•
Follow
good times.
.
.
#besttime #goodolddays #football
#memmories #malappuram #malayalam
#emotions
TEGAL MALAKA · EVERYTHING WORKS
 
TEGAL MALAKA · EVERYTHING WORKS
 ","❤️
The memory always brings tears to my eyes.,Good times☺️🤎
❤️🙌
🥺🥺🥺
മക്കളെ ഇപ്പൊ ഈ ഉള്ള സമയം ആറുമാദിച്ചോ 🥺🤍
❤️❤️🥺
😢💔
It's golden memorie❤️
Time flies 🥺",emotional
"raju___31__
•
Follow
KL🌴
.
.
.
.
#kerala #munnar #wayand #kochi #alappuzha🏝️ #varkala #kollam #trivanthapuram #explorepage #trip
raju___31__ · Original audio
 
raju___31__ · Original audio
 
5 people","😍
❤️
🙌🙌😍😍
😍😍
❤️❤️❤️
🔥
🙌🔥
😍😍😍😍😍
❤️🥰",informational
"vinniii_27
•
Follow
Accepting >>>
.
.
.
.
.
.
.
.
.
#love #viral #toronto #explore #canada #reelitfeelit #chandigarh #downtown #longdistancerelationship #punjabisongs #alone #quotes #broken
Vishal Shekhar, Amitabh Bhattacharya, Anusha Mani · Tera Rastaa Chhodoon Na
 
Vishal Shekhar, Amitabh Bhattacharya, Anusha Mani · Tera Rastaa Chhodoon Na
 ","❤️❤️❤️
Amen❤️
❤️❤️
❤️
No its not sometimes we can change the route✨
🙌
Accepting where it takes🙌❤️
So true!
Actually 🙌
😍😍
8th floor se niche ja rha h rasta
@praptiiee_ ❤️",emotional
"blogsbymalika
•
Follow
Also the yap session 🎀

#fyp #reels #fypage #instagram #blog #fy #food #cafe #girldate #goodfood #pakistan #karachi #terraza #viral
Tarun Sagar, Alyssa Mendonsa, Loy Mendonsa · Oh Girl You're Mine .
 
Tarun Sagar, Alyssa Mendonsa, Loy Mendonsa · Oh Girl You're Mine .
 ","So trueee
❤️😍
@khuraana_suhani ❤️
@mayarm0_07 😚🎀
@n00rain__ @iam.arshi99 let’s go😂
@___zarrin.fatima___ bhn ye wali date par kab jaenge hum 😭💅🏻🥲
With @sushreeshaswatisahoo 🎀in this cafe and the track of time will be lost 💕
@its_maryleen
@__.avnxeet.__.0 us when??😩💗
@theertha__shetty Let's Go 🤭❤️
@_.meeruu._0 behn hm asi date py kb jaien gay 😭💅🏻
@nazda____ ❤️
@musii_03 chal re lavdi
@the_rupal_chaudhary ❤️
@shreya_gujrathi22 💗",Entertainment
"relativistic_mind
•
Follow
A powerful 8.8-magnitude earthquake struck Russia's Far East early Wednesday, triggering a tsunami in the northern Pacific. Warnings were issued from Alaska and Hawaii to New Zealand.

In Honolulu, tsunami sirens prompted evacuations to higher ground.

Japan recorded a 40 cm tsunami on Hokkaido's southern coast.

In Russia’s Kamchatka Peninsula, near the epicenter, there was structural damage and evacuations, but no major injuries.

The tsunami first hit Severo-Kurilsk in the Kuril Islands; residents remain on elevated ground.

The US Pacific Tsunami Warning Center confirmed a tsunami could impact all Hawaiian coastlines.

Authorities continue to monitor for aftershocks and additional waves.
Wave Sound Group · Real Ocean Waves
 
Wave Sound Group · Real Ocean Waves
 ","❤️❤️❤️🔥😍😍😍
What happens to Hawaii then? Because that looks like it took out all of Hawaii in one go
oh god where is 🌧️pls bring very very heavy ⛈️⛈️⛈️in my state city town as ever before pls god brings very very heavy rains disasters back to back  in my city & surroundings 1908 + 90%> 🌪️🌪️🌪️🌪️🌪️🌊🌊🌊🌊🌊🌬️🌬️🌬️🌬️🌬️🌩️🌩️🌩️🌩️🌧️🌧️🌧️🌧️🌧️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️🌪️⛈️⛈️⛈️⛈️🌪️⛈️⛈️🌪️🌪️🌪️🌊🌊🌊⛈️⛈️⛈️⛈️⛈️⛈️⛈️🌊🌊🌊🌊🌪️⛈️⛈️⛈️⛈️⛈️⛈️🌪️🌪️🌪️🌪️⛈️⛈️⛈️⛈️⛈️⛈️🌊⛈️⛈️⛈️⛈️🌊⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌋🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌪️🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️⛈️in my state city & surroundings",informational
"ambikavaniofficial
•
Follow
Tum samjhate Q nhi Dev samay ke sath tumhari Anjali ki aawaz badal jati hai 🥲
i__daisy06 · Original audio
 
i__daisy06 · Original audio
 ","❤️❤️
❤️❤️❤️❤️❤️❤️😍😍😍😍
Good 😂😂😂😂th ap asi he bol n humm
👌🌝🫵👑🥺😍😅😇🫣🍀
🤩🤩
💚💚💚💚♥️♥️♥️♥️♥️🌹🌹💔🌹🌹🌹🌹💔💔💔💔💔💔👈👈👈
😂😂😂😂😂😂😂😂
❤️❤️❤️
❤️😂😂❤️😂❤️🙌😂🙌😂🙌😂🙌🙌
😂😂😂👏
😍😍😍😍😍
Looking so beautiful
😂😂
Good😂😂",Entertainment
"story.sketchers
•
Follow
When you are her squish baby😅
.
#loveshayri #couplegoals❤️
[cute couple comics, relationship goals, couple love, ldr, married life, couple goals]
Hansika Pareek, Sagnik Kolay, Soham Majumdar · Ratiyaan
 
Hansika Pareek, Sagnik Kolay, Soham Majumdar · Ratiyaan
 
Together Forever","Daa road nookie  odiikku panni 😂😂😂
Same like me😂🤭
Same to  same mee also
❤️🤌🙌
❤️
❤️❤️❤️
Agr yaha gender swich kr de toh
😂
😂😂😂
@prasadjawade ☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️☺️
@siddarth_jain_223 😘
@bechain_aatama 😂😂
@jithu________ps",emotional
"mrphuntsog
•
Follow
YOU RIDE WE CARE

Ladakh Itinerary share your contact no
So that we’ll send you the detail itinerary:

Book now and experience Ladakh like never before!

#royalenfield #royalenfieldhimalayan🏍 #biker #rider #mountaincalling #igviral #pahadivibes #indiatraveldiaries #landscapephotography #mountainmagic #exploremoreً
shubhadip_dey · Hua Main x Finding Her
 
shubhadip_dey · Hua Main x Finding Her
 ","👏👏👏
😍❤️❤️❤️
😮😮😮😮😮😍😍😍😍❤️❤️❤️❤️
Bhai yerr so beautiful place ❤️
📸...🏍️..🏍️..📸
😮😮😮😮😍😍😍❤️❤️❤️
❤️
👏
❤️❤️❤️
😻😇❤️
That feeling of  360 degree view of nature ❤️only riders can feel it
@wingsofonyx 🙌❤️
@sanskarsahu @a_anand.me @_prateek7__
Waiting @p.r.i.y.a.d.a.r.s.a.n @_anvar_str7 @zyn_mohmd_ @aj.ajay.55
Povande @nakul_ashok",informational
"malludronetraveller
•
Follow
Ever witnessed Munnar like this?

I shot this with my @djiglobal Air 3. Most of the shot’s captured with 3X lens.

📍Gap Road, Munnar

🚫Repost is not allowed🚫

#malludronetraveller #munnar #gaproadmunnar #sunrise #beauty
malludronetraveller · Paiya BGM💓
 
malludronetraveller · Paiya BGM💓
 
djiglobal","❤️
Wow ❤️
😍😍
Scerene 😍😍
😍
❤️🙌❤️
❤️❤️❤️
❤️❤️🙌
❤️🙌
🖤🖤
🔥🔥",informational
"wanderinggoofs
•
Follow
Share this with someone you’d chase waterfalls with ❤️

We hiked for hours in Indonesia — sweaty, laughing till our stomachs hurt, and wondering if we took a wrong turn… *but then we saw this.* And suddenly, every step was worth it.

It’s moments like these that stick. Not the perfect photos, but the tired high-fives, the silence when beauty leaves you speechless, and knowing you’re sharing it with *your* person.

Follow us @wanderinggoofs for more raw travel moments. We’re hunting hidden gems — and goofy love stories — around the world.

[ travel couple, waterfall hike, Indoensia, lombok, couple romantic ]

#travelcouplegoals #couplegoals #relationships #waterfall #coupletravel
fetching_pakistanis · Original audio
 
fetching_pakistanis · Original audio
 ","❤️
😍😍
😍😍😍
👏🙌
😁😁😁😁😁😁😁😁
😍❤️
@__tharun___y ❤️",emotional
"awesomedelhii
•
Follow
“ 🌼 Lodhi Gardan 🌸 “

Follow for more such content💕 @awesomedelhii

[spring season, delhi, reels, explore page, Lodhi garden, Delhiites, trending, bougainvillea, garden, viral]

#spring #springseason #lodhigarden #bougainvillea #delhi #awesomedelhii #explorepage #flowers #delhiite #delhincr #garden #pink #aesthetic #reels #reelkarofeelkaro #trending #lodhigardens #explore #delhidiaries #delhigram #viral
A. R. Rahman, Sonu Nigam · Saathiya - Title Track (From ""Saathiya"") (feat. Vivek Oberoi, Rani Mukerji)
 
A. R. Rahman, Sonu Nigam · Saathiya - Title Track (From ""Saathiya"") (feat. Vivek Oberoi, Rani Mukerji)
 
Lodhi Garden-Lodhi Road","😍
Mai to har week jaati hu Aisa kb bna diya 😅🥲
❤️❤️
Wow 😍
Wow 😍😍😍
🔥🔥
❤️❤️❤️❤️❤️❤️❤️😮😮😮😮
❤️
❤️😍
My place ❤️
Delhi Hits 😍❤️
😍😍😍😍😍",emotional
"mayureshpatilvlogs
•
Follow
Monsoon Magic Of Malshej Ghat🌿⛈️
.
.
#malshejghat #monsoon #sahyadri
villsterresort · Original audio
 
villsterresort · Original audio
 ","😍😍😍😍
खरी मजा तर बाईक वर येते 🔥❤️
Sukoon🌿🥰
😍😍😍😍😍
❤️
🔥🔥
🔥❤️
😍😍❤️❤️😮
Welcome to माळशेज घाट 🌍❤️🫶🏻..!",informational
"ilovebobah
•
Follow
A VERY IMPORTANT MESSAGE‼️
#importantmessage #prank
ilovebobah · Original audio
 
ilovebobah · Original audio
 ","😂
😂😂😂
😂😂was waiting for the signature booty shake😝🤣
😂😂
What was that bestie 😂😂😂
😂😂😂😂😂
…👊　…😠　…👊🤬　…💕
@reinreyes7
@hamxu23
@sr4basti
@_tushar_kumar_
@ai_alko 😂",Entertainment
"withlavish
•
Follow
Delhi’s Spring blooming in PINK 😍🌸💗
.
.
Reel by - @withlavish
Shot on - @apple
.
.
📍Lodhi Garden | New Delhi
.
.
Note - This video is of last year lodhi garden will look like this in end of march so you can visit accordingly.
.
.
#delhi #newdelhi #india #spring #reels #reelsinstagram #pink #explorepage #trending #flowers #flower #love #photography #delhincr #reelsindia
Mithoon, Arijit Singh · Dil Jhoom
 
Mithoon, Arijit Singh · Dil Jhoom
 
withlavish","😍😍
😍
😍❤️
❤️
Never saw such a heavy bloomer of Bougainvillea. You are blessed 🙌
❤️🌸
Bougainvillea season is the best season 😍",emotional
"midnightdrizzle._
•
Follow
For location, check the pinned comment! 💗
.
.
.
.
#healing #therapy #darkweather #rainyseason #publicfigure #peace #reelsexplore #love #moment #mountainlover #monsoon #climate #weather #foryoupage #need #song #feel #showlove❤️
Aman Trikha · Kabhi Jo Baadal Barse
 
Aman Trikha · Kabhi Jo Baadal Barse
 ","🙌🔥🙌
It's a feeling of heaven 😍❤️🔥 kb aayega woh haseen pal 😍
😍😍
❤️
❤️❤️❤️
Ek cup chai.me akili.or ye mosam no tens 😍
❤️❤️😍
Hyy kya bt hey...❤️🙌
@rabindranepal37 ❤️❤️
@_janhvigupta__ ❤️❤️",emotional
"gianalex_
•
Follow
This waterfall!😱

Comment „FPV“ if you want to learn how to fly FPV, go viral, and even make MONEY with it!🤩🚀
Daniel Deuschle · Enduring Hope
 
Daniel Deuschle · Enduring Hope
 
5 people","I love this one😍 by the way FPV😄
😮😮😮
🙌
😮😮
👏👏👏👏
Me in my dreams 😍
🔥😍
Woooooow 👏👏
😍😍😍😍😮
Beautiful 😍😍
😍😍
🍃
❤️❤️❤️❤️❤️
Awesome mate🔥👏
Muhteşem",motivation
"kailasha_thehimalayanvillage
•
Follow
Looking for a perfect weekend escape . ? Dm us for the details .
@kailasha_thehimalayanvillage
#parvativalley #luxuryresort #kasol #riverside #kailashathehimalayanvillage #explore #viralstaycation #viralresort #fyp

[ where to stay in Kasol , five star resort in Kasol , riverside resort , viral staycation , five hour away from city life , nature escape , healing , meditation , Kasol life ]
Pritam, Arijit Singh, Amitabh Bhattacharya, Jonita Gandhi · Deva Deva (From ""Brahmastra"")
 
Pritam, Arijit Singh, Amitabh Bhattacharya, Jonita Gandhi · Deva Deva (From ""Brahmastra"")
 
Kailasha-The Himalayan Village, Kasol","Details plz
Wonderful 😍
5 hour mein banda delhi  paunch jaata …. 😂 just 5 hour 😂👌🏽
Details
wow! 30-50k per night.... thats beyond loot
Price?
Details pls
Package details plz
Price ?
Price
Send me details pls",shopping
"dose_gym_ludhiana
•
Follow
🤦🤦. @dose_gym_ludhiana
@tushar_vsh
.
.
.
.
.
.
#insta #instagram #reels #reelsinstagram #gymmotivation #gym #gymrat #gymaddict #gymlover #gymmemes #gymworkouts #gymlove #funny #funnyvideos #funnymeme #funnyreels #comedy #comedyvideos #travel #travelphotography #mountain #mountainlife #manali #dosegymludhiana
dose_gym_ludhiana · Original audio
 
dose_gym_ludhiana · Original audio
 ","Ab iska faisla panchayat me hoga bas .....😂
😂😂😂😂
😂😂
🤣🤣
35 lakh ka investment tha 36 lakh ka ghata kaise ho gaya 😂😂
हमारा भी यही हाल था कल 🤣🤣
🤭🤭
Tu dede badme hisab karlenge 💀
Splitwise app 🙃
2 or kese bhad gaye
😂😂😂😂😂🤣🙌
Ek saal ho gaya Dost ne 300 abhi tak nahi diye
😂😂😂
@the_funny_blogger_youtube & @mr__dibyajyoti__ 😂😂",Entertainment
